,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,Malpe,13.35,74.7167,77.0,94,40,5.19,IN,2021-01-17 23:10:38
272,Miranda,3.2499,-76.2281,84.2,54,40,9.22,CO,2021-01-17 23:10:38
273,Tigre,-34.426,-58.5796,75.99,45,0,1.01,AR,2021-01-17 23:10:38
274,Nikolskoye,59.7035,30.7861,18.0,93,75,6.71,RU,2021-01-17 23:10:38
275,Safford,32.834,-109.7076,68.0,10,1,0.25,US,2021-01-17 23:10:38
276,Okhotsk,59.3833,143.3,-18.35,74,100,19.6,RU,2021-01-17 23:10:38
277,Saint-Pierre,-21.3393,55.4781,78.8,73,0,2.3,RE,2021-01-17 23:10:38
278,Poyarkovo,49.6,128.6833,-26.68,85,98,6.2,RU,2021-01-17 23:10:39
279,Hambantota,6.1241,81.1185,75.58,84,93,10.27,LK,2021-01-17 23:07:39
280,Buchanan,5.8808,-10.0467,75.2,94,40,5.77,LR,2021-01-17 23:10:39
281,San Lorenzo,-25.3333,-57.5333,73.4,78,0,9.22,PY,2021-01-17 23:10:39
282,Sao Filipe,14.8961,-24.4956,72.05,73,0,5.66,CV,2021-01-17 23:10:39
283,Richards Bay,-28.783,32.0377,71.58,88,73,7.02,ZA,2021-01-17 23:10:39
284,Njombe,-9.3333,34.7667,55.74,92,87,2.39,TZ,2021-01-17 23:10:39
285,Kudahuvadhoo,2.6708,72.8944,81.25,73,15,7.7,MV,2021-01-17 23:10:39
286,Dakar,14.6937,-17.4441,66.2,72,99,13.8,SN,2021-01-17 23:10:40
287,Riyadh,24.6877,46.7219,60.8,29,0,4.59,SA,2021-01-17 23:10:40
288,Khandbari,27.3747,87.2039,51.66,57,0,2.86,NP,2021-01-17 23:10:40
289,Cape Canaveral,28.4058,-80.6048,61.0,63,40,4.61,US,2021-01-17 23:05:50
290,Igdir,39.9237,44.045,44.6,53,85,3.44,TR,2021-01-17 23:10:40
